Time	Pop size	Mean_death_rate	Mean_birth_rate
0.001000	999	0.500000	0.500500
1.000273	1017	0.500116	0.491500
2.000806	973	0.500212	0.513500
3.000698	1026	0.500288	0.487000
4.000742	1013	0.500393	0.493500
5.000302	1036	0.500500	0.482000
6.000460	992	0.500584	0.504000
7.000914	999	0.500714	0.500500
8.000764	970	0.500790	0.515000
9.000858	946	0.500934	0.527000
10.000094	992	0.501036	0.504000
11.000754	1003	0.501191	0.498500
12.000571	970	0.501257	0.515000
13.000185	1007	0.501355	0.496500
14.000219	1038	0.501432	0.481000
15.000325	1058	0.501452	0.471000
16.000726	986	0.501509	0.507000
17.000214	983	0.501641	0.508500
18.000661	978	0.501786	0.511000
19.000291	1001	0.501834	0.499500
20.000702	963	0.501884	0.518500
21.000846	991	0.502000	0.504500
22.000652	1038	0.502176	0.481000
23.000925	1016	0.502313	0.492000
24.000611	1003	0.502414	0.498500
25.000952	953	0.502516	0.523500
26.000228	959	0.502700	0.520500
27.000337	963	0.502865	0.518500
28.000469	967	0.502970	0.516500
29.000411	986	0.502992	0.507000
30.000320	949	0.503113	0.525500
31.000684	921	0.503187	0.539500
32.000766	967	0.503309	0.516500
33.000470	967	0.503358	0.516500
34.000796	993	0.503363	0.503500
35.000115	995	0.503456	0.502500
36.000092	978	0.503525	0.511000
37.000906	987	0.503594	0.506500
38.000340	957	0.503620	0.521500
39.000435	948	0.503701	0.526000
40.000582	932	0.503859	0.534000
41.000835	943	0.503943	0.528500
42.000357	923	0.504038	0.538500
43.000632	953	0.504092	0.523500
44.000543	993	0.504209	0.503500
45.000658	998	0.504326	0.501000
46.000307	1015	0.504411	0.492500
47.000753	986	0.504424	0.507000
48.000951	963	0.504513	0.518500
49.000729	970	0.504594	0.515000
50.000208	959	0.504765	0.520500
51.000197	988	0.504878	0.506000
52.000317	953	0.504981	0.523500
53.000158	1000	0.505093	0.500000
54.000536	967	0.505291	0.516500
55.000260	1003	0.505437	0.498500
56.000850	983	0.505410	0.508500
57.000548	1015	0.505413	0.492500
58.000597	1020	0.505435	0.490000
59.000155	1014	0.505441	0.493000
60.000780	1010	0.505687	0.495000
61.000212	956	0.505722	0.522000
62.000312	970	0.505935	0.515000
63.000428	1000	0.506057	0.500000
64.000261	1004	0.506109	0.498000
65.000240	1043	0.506144	0.478500
66.000736	974	0.506285	0.513000
67.000104	998	0.506467	0.501000
68.000059	987	0.506484	0.506500
69.000751	956	0.506595	0.522000
70.000130	990	0.506718	0.505000
71.000678	1004	0.506810	0.498000
72.000252	961	0.506871	0.519500
73.000917	979	0.506987	0.510500
74.000294	986	0.507085	0.507000
75.000939	1026	0.507112	0.487000
76.000860	1048	0.507186	0.476000
77.000060	1013	0.507329	0.493500
78.000738	1013	0.507385	0.493500
79.000003	1050	0.507456	0.475000
80.000761	931	0.507547	0.534500
81.000968	917	0.507694	0.541500
82.000231	950	0.507709	0.525000
83.000258	998	0.507866	0.501000
84.000438	993	0.507981	0.503500
85.000070	1009	0.508065	0.495500
86.000194	951	0.508100	0.524500
87.000313	968	0.508140	0.516000
88.000863	984	0.508231	0.508000
89.000797	1029	0.508342	0.485500
90.000525	982	0.508581	0.509000
91.000649	952	0.508683	0.524000
92.000472	978	0.509025	0.511000
93.000450	967	0.509244	0.516500
94.000963	985	0.509443	0.507500
95.000780	966	0.509448	0.517000
96.000128	977	0.509618	0.511500
97.000134	977	0.509696	0.511500
98.000439	997	0.509883	0.501500
99.000615	997	0.509998	0.501500
100.000292	972	0.509981	0.514000
